有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode
081811　台灣50麥證26購03,TW22Z0818114,2022/07/28,上市,,RWBCCE
081819　台灣50凱基25購13,TW22Z0818197,2022/07/28,上市,,RWBCCA
081879　滬深2X國票23購04,TW22Z0818791,2022/07/29,上市,,RWBCCA
081888　台灣50凱基25購14,TW22Z0818882,2022/07/29,上市,,RWBCCA
081889　T50反1凱基27購02,TW22Z0818890,2022/07/29,上市,,RWBCCA
081918　滬深2X元大23購08,TW22Z0819187,2022/07/29,上市,,RWBCCA
082016　滬深2X元大23購09,TW22Z0820169,2022/08/01,上市,,RWBCCA
082060　滬深2X群益23購04,TW22Z0820607,2022/08/02,上市,,RWBCCA
082064　T50反1元大29購01,TW22Z0820649,2022/08/02,上市,,RWBCCA
082065　T50反1元大2A購01,TW22Z0820656,2022/08/02,上市,,RWBCCA
082155　台灣50凱基24購10,TW22Z0821555,2022/08/03,上市,,RWBCCA
082182　滬深2X元大24購02,TW22Z0821829,2022/08/03,上市,,RWBCCA
082214　滬深2X中信25購01,TW22Z0822140,2022/08/04,上市,,RWBCCE
082225　元金2X元大26購01,TW22Z0822256,2022/08/04,上市,,RWBCCA
082285　台灣50凱基23購12,TW22Z0822850,2022/08/04,上市,,RWBCCA
082286　香港2X凱基24購01,TW22Z0822868,2022/08/04,上市,,RWBCCA
082323　上証2X富邦23購02,TW22Z0823239,2022/08/04,上市,,RWBCCA
082324　滬深2X富邦24購04,TW22Z0823247,2022/08/04,上市,,RWBCCA
082393　滬深2X永豐22購01,TW22Z0823932,2022/08/05,上市,,RWBCCA
082406　滬深2X國票24購03,TW22Z0824062,2022/08/05,上市,,RWBCCA
082470　T50反1兆豐2A購01,TW22Z0824708,2022/08/08,上市,,RWBCCA
082477　台灣50群益22購03,TW22Z0824773,2022/08/08,上市,,RWBCCA
082478　滬深2X群益23購05,TW22Z0824781,2022/08/08,上市,,RWBCCA
082507　香港2X國票23購01,TW22Z0825077,2022/08/08,上市,,RWBCCA
082558　滬深2X元富22購02,TW22Z0825580,2022/08/09,上市,,RWBCCA
082559　滬深2X元富22購03,TW22Z0825598,2022/08/09,上市,,RWBCCA
082569　滬深2X群益23購06,TW22Z0825697,2022/08/09,上市,,RWBCCA
082577　滬深2X元大23購10,TW22Z0825770,2022/08/09,上市,,RWBCCA
082578　滬深2X元大25購02,TW22Z0825788,2022/08/09,上市,,RWBCCA
082579　滬深2X元大28購01,TW22Z0825796,2022/08/09,上市,,RWBCCA
082628　香港2X國票24購01,TW22Z0826281,2022/08/09,上市,,RWBCCA
082637　滬深2X富邦23購03,TW22Z0826372,2022/08/09,上市,,RWBCCA
082668　滬深2X群益25購01,TW22Z0826687,2022/08/10,上市,,RWBCCA
082675　台灣5G元大25購01,TW22Z0826752,2022/08/10,上市,,RWBCCA
082696　台灣50國泰24購01,TW22Z0826968,2022/08/10,上市,,RWBCCA
082704　滬深2X凱基23購04,TW22Z0827040,2022/08/10,上市,,RWBCCA
082705　香港2X凱基22購01,TW22Z0827057,2022/08/10,上市,,RWBCCA
082728　滬深2X群益23購07,TW22Z0827289,2022/08/11,上市,,RWBCCA
082749　滬深2X國票23購06,TW22Z0827495,2022/08/11,上市,,RWBCCA
082757　滬深2X元大22購02,TW22Z0827578,2022/08/11,上市,,RWBCCA
082851　滬深2X凱基22購05,TW22Z0828519,2022/08/12,上市,,RWBCCA
082852　滬深2X凱基28購01,TW22Z0828527,2022/08/12,上市,,RWBCCA
082875　元金2X元大22購01,TW22Z0828758,2022/08/12,上市,,RWBCCA
082945　滬深2X元大22購03,TW22Z0829459,2022/08/15,上市,,RWBCCA
083017　滬深2X凱基23購05,TW22Z0830176,2022/08/16,上市,,RWBCCA
083018　滬深2X凱基23購06,TW22Z0830184,2022/08/16,上市,,RWBCCA
083099　T50反1國票25購01,TW22Z0830994,2022/08/16,上市,,RWBCCA
083121　香港2X群益22購01,TW22Z0831216,2022/08/16,上市,,RWBCCA
083147　滬深2X群益23購08,TW22Z0831471,2022/08/17,上市,,RWBCCA
083226　上証2X富邦23購03,TW22Z0832263,2022/08/17,上市,,RWBCCA
083227　T50反1元大28購03,TW22Z0832271,2022/08/17,上市,,RWBCCA
083343　滬深2X凱基22購06,TW22Z0833436,2022/08/18,上市,,RWBCCA
083383　滬深2X統一22購02,TW22Z0833832,2022/08/19,上市,,RWBCCA
083402　台灣50凱基22購01,TW22Z0834020,2022/08/19,上市,,RWBCCA
083403　台灣50凱基23購15,TW22Z0834038,2022/08/19,上市,,RWBCCA
083469　台灣50群益22購05,TW22Z0834699,2022/08/19,上市,,RWBCCA
083470　台灣50群益22購06,TW22Z0834707,2022/08/19,上市,,RWBCCA
083471　滬深2X群益22購02,TW22Z0834715,2022/08/19,上市,,RWBCCA
083500　台灣50第一28購03,TW22Z0835001,2022/08/22,上市,,RWBCCA
083516　滬深2X元大24購03,TW22Z0835167,2022/08/22,上市,,RWBCCA
083540　T50反1兆豐28購01,TW22Z0835407,2022/08/22,上市,,RWBCCA
083543　台灣50台新22購03,TW22Z0835431,2022/08/22,上市,,RWBCCE
08356P　T50反1元富22售04,TW22Z08356P7,2022/08/22,上市,,RWBCPE
083570　T50反1元富22購03,TW22Z0835704,2022/08/22,上市,,RWBCCA
08357P　A50正2元富22售01,TW22Z08357P5,2022/08/22,上市,,RWBCPE
083600　滬深2X群益22購03,TW22Z0836009,2022/08/23,上市,,RWBCCA
083676　滬深2X國票26購01,TW22Z0836769,2022/08/23,上市,,RWBCCA
083693　台灣50元富22購01,TW22Z0836934,2022/08/23,上市,,RWBCCA
083715　滬深2X永豐22購02,TW22Z0837155,2022/08/24,上市,,RWBCCA
083797　台灣50富邦23購03,TW22Z0837973,2022/08/24,上市,,RWBCCA
083834　滬深2X群益22購04,TW22Z0838344,2022/08/25,上市,,RWBCCA
083865　上証2X凱基26購01,TW22Z0838658,2022/08/25,上市,,RWBCCA
083938　元日2X元富23購02,TW22Z0839383,2022/08/26,上市,,RWBCCA
083958　T50反1中信23購03,TW22Z0839581,2022/08/26,上市,,RWBCCE
083959　台灣50元大23購16,TW22Z0839599,2022/08/26,上市,,RWBCCA
083960　台灣50元大23購17,TW22Z0839607,2022/08/26,上市,,RWBCCA
083961　台灣50元大23購18,TW22Z0839615,2022/08/26,上市,,RWBCCA
083962　台灣50元大23購19,TW22Z0839623,2022/08/26,上市,,RWBCCA
083963　台灣50元大24購09,TW22Z0839631,2022/08/26,上市,,RWBCCA
083964　台灣50元大24購10,TW22Z0839649,2022/08/26,上市,,RWBCCA
083965　台灣50元大24購11,TW22Z0839656,2022/08/26,上市,,RWBCCA
084037　香港2X元大25購01,TW22Z0840373,2022/08/29,上市,,RWBCCA
084055　A50正2永豐23購01,TW22Z0840555,2022/08/29,上市,,RWBCCA
084145　香港2X群益25購01,TW22Z0841454,2022/08/30,上市,,RWBCCA
084167　上証2X富邦23購04,TW22Z0841678,2022/08/30,上市,,RWBCCA
084173　A50正2群益25購01,TW22Z0841736,2022/08/31,上市,,RWBCCA
084263　台灣50凱基25購15,TW22Z0842635,2022/09/01,上市,,RWBCCA
084264　T50反1凱基28購01,TW22Z0842643,2022/09/01,上市,,RWBCCA
084265　T50反1凱基28購02,TW22Z0842650,2022/09/01,上市,,RWBCCA
084266　T50反1凱基28購03,TW22Z0842668,2022/09/01,上市,,RWBCCA
084306　A50正2元富25購01,TW22Z0843062,2022/09/01,上市,,RWBCCA
084371　台灣50台新23購01,TW22Z0843716,2022/09/02,上市,,RWBCCE
084462　滬深2X凱基24購02,TW22Z0844623,2022/09/05,上市,,RWBCCA
084486　T50反1元富23購02,TW22Z0844862,2022/09/05,上市,,RWBCCA
084487　元日2X元富29購01,TW22Z0844870,2022/09/05,上市,,RWBCCA
084493　T50反1元大28購04,TW22Z0844938,2022/09/05,上市,,RWBCCA
084494　滬深2X元大26購02,TW22Z0844946,2022/09/05,上市,,RWBCCA
084495　滬深2X元大27購02,TW22Z0844953,2022/09/05,上市,,RWBCCA
084513　滬深2X富邦24購05,TW22Z0845133,2022/09/05,上市,,RWBCCA
084643　滬深2X群益25購02,TW22Z0846438,2022/09/07,上市,,RWBCCA
084644　元日2X群益27購01,TW22Z0846446,2022/09/07,上市,,RWBCCA
084694　T50反1永豐25購01,TW22Z0846941,2022/09/07,上市,,RWBCCA
084711　元日2X國票25購02,TW22Z0847113,2022/09/07,上市,,RWBCCA
084765　滬深2X國票25購01,TW22Z0847659,2022/09/08,上市,,RWBCCA
084795　元金2X元大28購01,TW22Z0847956,2022/09/08,上市,,RWBCCA
084833　T50反1群益25購01,TW22Z0848335,2022/09/12,上市,,RWBCCA
084834　T50反1群益2A購01,TW22Z0848343,2022/09/12,上市,,RWBCCA
084874　A50正2元富23購02,TW22Z0848749,2022/09/12,上市,,RWBCCA
084879　上証2X元大24購01,TW22Z0848798,2022/09/12,上市,,RWBCCA
084881　香港2X元大27購01,TW22Z0848814,2022/09/12,上市,,RWBCCA
084937　台灣50永豐23購02,TW22Z0849374,2022/09/13,上市,,RWBCCA
084989　台灣50富邦25購02,TW22Z0849895,2022/09/13,上市,,RWBCCA
085026　台灣50群益23購03,TW22Z0850265,2022/09/14,上市,,RWBCCA
085027　台灣50群益23購04,TW22Z0850273,2022/09/14,上市,,RWBCCA
085028　台灣50群益24購01,TW22Z0850281,2022/09/14,上市,,RWBCCA
085029　元日2X群益23購02,TW22Z0850299,2022/09/14,上市,,RWBCCA
085040　台灣5G元大24購01,TW22Z0850406,2022/09/14,上市,,RWBCCA
085062　元日2X國票24購01,TW22Z0850620,2022/09/14,上市,,RWBCCA
085096　台灣50台新23購02,TW22Z0850968,2022/09/14,上市,,RWBCCE
085105　道瓊2X中信26購01,TW22Z0851057,2022/09/15,上市,,RWBCCE
085125　滬深2X元大24購04,TW22Z0851255,2022/09/15,上市,,RWBCCA
085126　滬深2X元大24購05,TW22Z0851263,2022/09/15,上市,,RWBCCA
085141　台灣50麥證23購06,TW22Z0851412,2022/09/15,上市,,RWBCCE
085142　台灣50麥證24購01,TW22Z0851420,2022/09/15,上市,,RWBCCE
085176　A50正2富邦26購01,TW22Z0851768,2022/09/15,上市,,RWBCCA
085178　T50反1中信27購01,TW22Z0851784,2022/09/16,上市,,RWBCCE
085273　上証2X富邦24購02,TW22Z0852733,2022/09/16,上市,,RWBCCA
085274　A50正2富邦26購02,TW22Z0852741,2022/09/16,上市,,RWBCCA
085324　滬深2X凱基24購03,TW22Z0853244,2022/09/19,上市,,RWBCCA
085333　台灣50元大23購22,TW22Z0853335,2022/09/19,上市,,RWBCCA
085334　台灣50元大23購23,TW22Z0853343,2022/09/19,上市,,RWBCCA
085335　台灣50元大23購24,TW22Z0853350,2022/09/19,上市,,RWBCCA
085336　台灣50元大24購13,TW22Z0853368,2022/09/19,上市,,RWBCCA
085337　台灣50元大24購14,TW22Z0853376,2022/09/19,上市,,RWBCCA
085346　滬深2X國票25購02,TW22Z0853467,2022/09/19,上市,,RWBCCA
085347　香港2X國票24購03,TW22Z0853475,2022/09/19,上市,,RWBCCA
085397　台灣50兆豐25購02,TW22Z0853970,2022/09/20,上市,,RWBCCA
085425　香港2X凱基25購01,TW22Z0854259,2022/09/20,上市,,RWBCCA
085451　元日2X國票26購01,TW22Z0854515,2022/09/20,上市,,RWBCCA
085452　元金2X國票24購02,TW22Z0854523,2022/09/20,上市,,RWBCCA
085496　道瓊2X元大23購01,TW22Z0854960,2022/09/21,上市,,RWBCCA
085513　滬深2X凱基26購03,TW22Z0855132,2022/09/21,上市,,RWBCCA
085553　台灣50第一39購01,TW22Z0855538,2022/09/22,上市,,RWBCCA
085560　香港2X中信24購01,TW22Z0855603,2022/09/22,上市,,RWBCCE
085587　上証2X元大25購01,TW22Z0855876,2022/09/22,上市,,RWBCCA
085588　上証2X元大25購02,TW22Z0855884,2022/09/22,上市,,RWBCCA
085589　滬深2X元大23購12,TW22Z0855892,2022/09/22,上市,,RWBCCA
085590　道瓊2X元大26購01,TW22Z0855900,2022/09/22,上市,,RWBCCA
085638　元金2X元富23購01,TW22Z0856387,2022/09/22,上市,,RWBCCA
085651　香港2X群益23購02,TW22Z0856510,2022/09/23,上市,,RWBCCA
085678　T50反1國泰25購01,TW22Z0856783,2022/09/23,上市,,RWBCCA
085706　台灣50凱基23購17,TW22Z0857062,2022/09/23,上市,,RWBCCA
085724　香港2X元大24購01,TW22Z0857245,2022/09/23,上市,,RWBCCA
085725　A50正2元大24購01,TW22Z0857252,2022/09/23,上市,,RWBCCA
085812　T50反1元大27購03,TW22Z0858128,2022/09/26,上市,,RWBCCA
085813　滬深2X元大27購03,TW22Z0858136,2022/09/26,上市,,RWBCCA
085854　滬深2X元富23購02,TW22Z0858540,2022/09/26,上市,,RWBCCA
085931　上証2X凱基25購01,TW22Z0859316,2022/09/27,上市,,RWBCCA
085932　滬深2X凱基23購07,TW22Z0859324,2022/09/27,上市,,RWBCCA
085958　T50反1元大25購08,TW22Z0859589,2022/09/27,上市,,RWBCCA
085959　T50反1元大26購04,TW22Z0859597,2022/09/27,上市,,RWBCCA
086025　滬深2X統一23購01,TW22Z0860256,2022/09/28,上市,,RWBCCA
086094　香港2X凱基27購01,TW22Z0860942,2022/09/28,上市,,RWBCCA
086111　台灣50富邦26購01,TW22Z0861114,2022/09/28,上市,,RWBCCA
086112　滬深2X富邦24購07,TW22Z0861122,2022/09/28,上市,,RWBCCA
086122　香港2X國票25購02,TW22Z0861221,2022/09/29,上市,,RWBCCA
086135　台灣50永豐23購04,TW22Z0861353,2022/09/29,上市,,RWBCCA
086142　台灣50群益23購08,TW22Z0861429,2022/09/29,上市,,RWBCCA
086143　台灣50群益23購09,TW22Z0861437,2022/09/29,上市,,RWBCCA
086144　台灣50群益23購10,TW22Z0861445,2022/09/29,上市,,RWBCCA
086145　T50反1群益27購01,TW22Z0861452,2022/09/29,上市,,RWBCCA
086146　滬深2X群益23購10,TW22Z0861460,2022/09/29,上市,,RWBCCA
086171　台灣50台新23購03,TW22Z0861718,2022/09/29,上市,,RWBCCE
086185　台灣50凱基24購13,TW22Z0861858,2022/09/29,上市,,RWBCCA
086186　台灣50凱基25購17,TW22Z0861866,2022/09/29,上市,,RWBCCA
086187　台灣50凱基27購03,TW22Z0861874,2022/09/29,上市,,RWBCCA
086208　T50反1元大26購05,TW22Z0862088,2022/09/29,上市,,RWBCCA
086300　台灣50統一25購01,TW22Z0863003,2022/09/30,上市,,RWBCCA
086317　台灣50元富23購04,TW22Z0863177,2022/09/30,上市,,RWBCCA
086326　台灣50元大25購11,TW22Z0863268,2022/09/30,上市,,RWBCCA
086327　台灣50元大25購12,TW22Z0863276,2022/09/30,上市,,RWBCCA
086328　台灣50元大25購13,TW22Z0863284,2022/09/30,上市,,RWBCCA
086329　台灣50元大25購14,TW22Z0863292,2022/09/30,上市,,RWBCCA
086355　台灣50麥證23購07,TW22Z0863557,2022/09/30,上市,,RWBCCE
086382　台灣50國票24購04,TW22Z0863821,2022/10/03,上市,,RWBCCA
086383　台灣50國票24購05,TW22Z0863839,2022/10/03,上市,,RWBCCA
086384　台灣50國票26購01,TW22Z0863847,2022/10/03,上市,,RWBCCA
086385　T50反1國票25購02,TW22Z0863854,2022/10/03,上市,,RWBCCA
086386　T50反1國票26購01,TW22Z0863862,2022/10/03,上市,,RWBCCA
086387　T50反1國票27購02,TW22Z0863870,2022/10/03,上市,,RWBCCA
086388　T50反1國票28購01,TW22Z0863888,2022/10/03,上市,,RWBCCA
086389　T50反1國票29購01,TW22Z0863896,2022/10/03,上市,,RWBCCA
086390　T50反1國票2A購01,TW22Z0863904,2022/10/03,上市,,RWBCCA
086401　台灣50群益24購02,TW22Z0864019,2022/10/03,上市,,RWBCCA
086437　元日2X元富27購01,TW22Z0864373,2022/10/03,上市,,RWBCCA
086451　道瓊2X凱基28購01,TW22Z0864514,2022/10/03,上市,,RWBCCA
086549　T50反1兆豐2C購01,TW22Z0865495,2022/10/04,上市,,RWBCCA
086553　T50反1群益28購03,TW22Z0865537,2022/10/04,上市,,RWBCCA
086554　上証2X群益24購01,TW22Z0865545,2022/10/04,上市,,RWBCCA
086571　T50反1國泰26購01,TW22Z0865719,2022/10/04,上市,,RWBCCA
086583　道瓊2X凱基2A購01,TW22Z0865834,2022/10/04,上市,,RWBCCA
086646　T50反1元富27購01,TW22Z0866469,2022/10/04,上市,,RWBCCA
08668P　T50反1元富23售03,TW22Z08668P5,2022/09/05,上市,,RWBCPE
086754　T50反1富邦29購02,TW22Z0867541,2022/10/05,上市,,RWBCCA
086790　T50反1第一29購01,TW22Z0867905,2022/10/06,上市,,RWBCCA
086837　台灣50群益24購03,TW22Z0868374,2022/10/06,上市,,RWBCCA
086838　台灣50群益24購04,TW22Z0868382,2022/10/06,上市,,RWBCCA
086839　台灣50群益24購05,TW22Z0868390,2022/10/06,上市,,RWBCCA
086930　台灣50凱基25購18,TW22Z0869307,2022/10/06,上市,,RWBCCA
086931　台灣50凱基27購05,TW22Z0869315,2022/10/06,上市,,RWBCCA
086932　台灣50凱基2A購01,TW22Z0869323,2022/10/06,上市,,RWBCCA
086933　美指2X凱基28購01,TW22Z0869331,2022/10/06,上市,,RWBCCA
086977　A50正2元大26購01,TW22Z0869778,2022/10/06,上市,,RWBCCA
087033　滬深2X永豐24購01,TW22Z0870339,2022/10/07,上市,,RWBCCA
087047　台灣50國票24購06,TW22Z0870479,2022/10/07,上市,,RWBCCA
087048　台灣50國票25購02,TW22Z0870487,2022/10/07,上市,,RWBCCA
087049　道瓊2X國票26購01,TW22Z0870495,2022/10/07,上市,,RWBCCA
087069　T50反1凱基28購04,TW22Z0870693,2022/10/07,上市,,RWBCCA
087070　T50反1凱基2A購01,TW22Z0870701,2022/10/07,上市,,RWBCCA
087071　滬深2X凱基25購01,TW22Z0870719,2022/10/07,上市,,RWBCCA
087072　滬深2X凱基25購02,TW22Z0870727,2022/10/07,上市,,RWBCCA
087073　美指2X凱基28購02,TW22Z0870735,2022/10/07,上市,,RWBCCA
087184　滬深2X群益26購02,TW22Z0871840,2022/10/11,上市,,RWBCCA
087284　T50反1永豐27購01,TW22Z0872848,2022/10/12,上市,,RWBCCA
087289　台灣50國票25購03,TW22Z0872897,2022/10/12,上市,,RWBCCA
087332　A50正2凱基26購01,TW22Z0873325,2022/10/12,上市,,RWBCCA
087333　美指2X凱基27購01,TW22Z0873333,2022/10/12,上市,,RWBCCA
087373　T50反1元富27購03,TW22Z0873739,2022/10/12,上市,,RWBCCA
087398　T50反1國票28購02,TW22Z0873986,2022/10/13,上市,,RWBCCA
087399　T50反1國票2A購02,TW22Z0873994,2022/10/13,上市,,RWBCCA
087414　美指2X元富28購01,TW22Z0874141,2022/10/13,上市,,RWBCCA
087461　滬深2X富邦26購01,TW22Z0874612,2022/10/13,上市,,RWBCCA
087490　T50反1元富27購05,TW22Z0874901,2022/10/14,上市,,RWBCCA
087500　T50反1兆豐2C購02,TW22Z0875007,2022/10/14,上市,,RWBCCA
087504　台灣50台新24購01,TW22Z0875049,2022/10/14,上市,,RWBCCE
087520　滬深2X凱基24購05,TW22Z0875205,2022/10/14,上市,,RWBCCA
087521　滬深2X凱基26購04,TW22Z0875213,2022/10/14,上市,,RWBCCA
087522　A50正2凱基25購01,TW22Z0875221,2022/10/14,上市,,RWBCCA
087542　上証2X富邦25購01,TW22Z0875429,2022/10/14,上市,,RWBCCA
087569　台灣50永豐25購01,TW22Z0875692,2022/10/17,上市,,RWBCCA
087573　台灣50國票24購07,TW22Z0875734,2022/10/17,上市,,RWBCCA
087574　台灣50國票24購08,TW22Z0875742,2022/10/17,上市,,RWBCCA
087585　台灣50兆豐27購01,TW22Z0875858,2022/10/17,上市,,RWBCCA
087592　T50反1群益26購02,TW22Z0875924,2022/10/17,上市,,RWBCCA
087593　滬深2X群益24購02,TW22Z0875932,2022/10/17,上市,,RWBCCA
087612　台灣50元富24購01,TW22Z0876120,2022/10/17,上市,,RWBCCA
087613　台灣50元富24購02,TW22Z0876138,2022/10/17,上市,,RWBCCA
087614　滬深2X元富24購01,TW22Z0876146,2022/10/17,上市,,RWBCCA
087615　A50正2元富24購01,TW22Z0876153,2022/10/17,上市,,RWBCCA
087624　T50反1凱基29購01,TW22Z0876245,2022/10/17,上市,,RWBCCA
087641　台灣50元大25購21,TW22Z0876419,2022/10/17,上市,,RWBCCA
087642　台灣50元大25購22,TW22Z0876427,2022/10/17,上市,,RWBCCA
087643　台灣50元大26購01,TW22Z0876435,2022/10/17,上市,,RWBCCA
087644　T50反1元大26購06,TW22Z0876443,2022/10/17,上市,,RWBCCA
087645　T50反1元大26購07,TW22Z0876450,2022/10/17,上市,,RWBCCA
087646　T50反1元大27購04,TW22Z0876468,2022/10/17,上市,,RWBCCA
087647　T50反1元大28購05,TW22Z0876476,2022/10/17,上市,,RWBCCA
087664　台灣50富邦26購03,TW22Z0876641,2022/10/17,上市,,RWBCCA
087670　香港2X國票25購04,TW22Z0876708,2022/10/18,上市,,RWBCCA
087677　T50反1國泰2A購02,TW22Z0876773,2022/10/18,上市,,RWBCCA
087706　台灣50凱基25購19,TW22Z0877060,2022/10/18,上市,,RWBCCA
087707　台灣50凱基2A購02,TW22Z0877078,2022/10/18,上市,,RWBCCA
087708　元日2X凱基29購01,TW22Z0877086,2022/10/18,上市,,RWBCCA
087791　T50反1永豐26購01,TW22Z0877912,2022/10/19,上市,,RWBCCA
087804　台灣50凱基25購21,TW22Z0878043,2022/10/19,上市,,RWBCCA
087819　T50反1元大28購06,TW22Z0878191,2022/10/19,上市,,RWBCCA
087820　T50反1元大29購03,TW22Z0878209,2022/10/19,上市,,RWBCCA
087821　T50反1元大29購04,TW22Z0878217,2022/10/19,上市,,RWBCCA
087822　美指2X元大2A購01,TW22Z0878225,2022/10/19,上市,,RWBCCA
087860　T50反1中信28購01,TW22Z0878605,2022/10/20,上市,,RWBCCE
087868　台灣50群益24購10,TW22Z0878688,2022/10/20,上市,,RWBCCA
087869　台灣50群益25購01,TW22Z0878696,2022/10/20,上市,,RWBCCA
087870　台灣50群益25購02,TW22Z0878704,2022/10/20,上市,,RWBCCA
087871　A50正2群益26購01,TW22Z0878712,2022/10/20,上市,,RWBCCA
087886　T50反1元富27購07,TW22Z0878860,2022/10/20,上市,,RWBCCA
087887　滬深2X元富24購03,TW22Z0878878,2022/10/20,上市,,RWBCCA
087896　T50反1國票28購03,TW22Z0878969,2022/10/20,上市,,RWBCCA
087897　T50反1國票29購02,TW22Z0878977,2022/10/20,上市,,RWBCCA
087912　香港2X元大26購01,TW22Z0879124,2022/10/20,上市,,RWBCCA
087959　A50正2永豐24購01,TW22Z0879595,2022/10/21,上市,,RWBCCA
087988　滬深2X中信26購01,TW22Z0879884,2022/10/21,上市,,RWBCCE
088058　上証2X凱基25購02,TW22Z0880585,2022/10/24,上市,,RWBCCA
088080　T50反1元富27購09,TW22Z0880809,2022/10/24,上市,,RWBCCA
088081　美指2X元富2A購01,TW22Z0880817,2022/10/24,上市,,RWBCCA
088114　滬深2X國票25購03,TW22Z0881146,2022/10/25,上市,,RWBCCA
088116　A50正2國票25購01,TW22Z0881161,2022/10/25,上市,,RWBCCA
088149　滬深2X元大25購03,TW22Z0881492,2022/10/25,上市,,RWBCCA
088167　台灣50凱基27購06,TW22Z0881674,2022/10/25,上市,,RWBCCA
088168　T50反1凱基2A購02,TW22Z0881682,2022/10/25,上市,,RWBCCA
088229　台灣50凱基26購08,TW22Z0882292,2022/10/26,上市,,RWBCCA
088230　台灣50凱基28購01,TW22Z0882300,2022/10/26,上市,,RWBCCA
088231　香港2X凱基27購02,TW22Z0882318,2022/10/26,上市,,RWBCCA
088245　上証2X元富24購01,TW22Z0882458,2022/10/26,上市,,RWBCCA
088246　滬深2X元富27購01,TW22Z0882466,2022/10/26,上市,,RWBCCA
088255　A50正2國票25購02,TW22Z0882557,2022/10/27,上市,,RWBCCA
088280　滬深2X群益26購04,TW22Z0882805,2022/10/27,上市,,RWBCCA
088281　香港2X群益26購01,TW22Z0882813,2022/10/27,上市,,RWBCCA
08880P　T50反1富邦29售01,TW22Z08880P6,2022/09/13,上市,,RWBCPE
ETN,ETN,ETN,ETN,ETN,ETN
特別股,特別股,特別股,特別股,特別股,特別股
普通股,普通股,普通股,普通股,普通股,普通股
ETF,ETF,ETF,ETF,ETF,ETF
ETN,ETN,ETN,ETN,ETN,ETN
